Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.05719495192170143,1.8115570545196533,77.94121551513672,-0.29407506657019356,-0.4499141336815894,-86.55551973261001,-0.2765703,6.1081715,-1.4521792,9.826149,-8.585054,-6.2296267,4.330511,-4.9060574,-6.797665,7.048658,-11.941288,6.9785933,-2.623,1.2969342,6.295635,-2.8128047,12.076252,-42.00369,66.256874,0.25274152,-0.16317132,4.830178,3.943559,-9.053267,22.708843,61.2145,-9.546636,-0.0058342083,-7.961255
1,-0.05609941855072975,1.8092803955078125,77.94540405273438,-0.3054757221087602,-0.44221471613427665,-86.56116328569192,-0.2670248,6.1249785,-1.4599226,9.790396,-8.569504,-6.2899,4.3225417,-4.891469,-6.7976675,7.04875,-11.935929,6.946501,-2.6151059,1.3058369,6.276458,-2.8177445,12.06901,-42.007473,66.270096,0.2744924,-0.16314535,4.8597155,3.9318464,-9.054789,22.713108,61.229527,-9.588026,0.027970558,-7.954714
2,-0.0541863851249218,1.7928998470306396,77.94258880615234,-0.31834198199455094,-0.4333594181088339,-86.56666588073396,-0.2592629,6.1439204,-1.469447,9.75371,-8.552854,-6.356771,4.312651,-4.874817,-6.7980123,7.049448,-11.92997,6.911358,-2.6074018,1.3148845,6.256687,-2.820861,12.065541,-42.010567,66.27882,0.29571915,-0.1628661,4.890136,3.920372,-9.05543,22.71746,61.244324,-9.627405,0.06188403,-7.947602
3,-0.052913058549165726,1.7817234992980957,77.94231414794922,-0.3269079312075081,-0.42678968806345147,-86.57258596794888,-0.24574104,6.1580596,-1.4750159,9.713501,-8.535242,-6.410457,4.3061957,-4.862831,-6.7975965,7.0498233,-11.925887,6.8824873,-2.6038775,1.3241323,6.234731,-2.821712,12.05404,-42.0137,66.29431,0.3170297,-0.16134718,4.9214087,3.9016988,-9.056289,22.728863,61.27025,-9.668136,0.095671535,-7.94442
4,-0.052729953080415726,1.793729543685913,77.9372787475586,-0.3317894074369857,-0.4265219953697861,-86.57703270015806,-0.2367163,6.1647086,-1.4764272,9.704494,-8.535847,-6.4320884,4.3093905,-4.857351,-6.798646,7.0501933,-11.927308,6.8684645,-2.5986905,1.329981,6.2266417,-2.8244915,12.050387,-42.01237,66.29786,0.3483955,-0.1515732,4.940098,3.8963618,-9.056396,22.730785,61.2762,-9.726602,0.123904735,-7.9504447
5,-0.043718524277210236,1.7848196029663086,77.92632293701172,-0.3265901203567892,-0.43730726626839034,-86.58016622778426,-0.22489664,6.1586156,-1.4687968,9.72588,-8.555394,-6.4048915,4.3287926,-4.8629866,-6.800974,7.050535,-11.9377985,6.8769007,-2.5971541,1.3341097,6.233844,-2.8288512,12.042945,-41.99988,66.29928,0.39846712,-0.12929833,4.946448,3.899104,-9.056173,22.726637,61.27055,-9.812075,0.14835888,-7.970258
6,-0.04407257214188576,1.770933747291565,77.9217758178711,-0.31644639820281095,-0.45589890501830904,-86.5821285095904,-0.20791464,6.143659,-1.4547211,9.762457,-8.585049,-6.342983,4.362782,-4.8760653,-6.804803,7.0441685,-11.95081,6.9012904,-2.5962262,1.334801,6.2532277,-2.8366883,12.037721,-41.981976,66.299,0.46139824,-0.099450625,4.9422345,3.9094195,-9.055792,22.71684,61.25308,-9.916285,0.16962007,-7.9989424
7,-0.04719632863998413,1.7664711475372314,77.92301177978516,-0.30401026931991554,-0.47433529680573705,-86.58390591362607,-0.19649817,6.1259313,-1.4404912,9.810873,-8.620965,-6.273098,4.390509,-4.892404,-6.8077326,7.051496,-11.972052,6.9298816,-2.5981529,1.3356365,6.276675,-2.8483918,12.027256,-41.948177,66.301254,0.5359548,-0.0701208,4.932076,3.9175162,-9.055166,22.700138,61.234787,-10.029167,0.18572553,-8.029341
8,-0.04538216441869736,1.7657991647720337,77.92550659179688,-0.2955631155785587,-0.4840531739585593,-86.58612360472804,-0.19225508,6.112744,-1.4317532,9.849591,-8.649957,-6.222116,4.410266,-4.904726,-6.809504,7.0523663,-11.985203,6.950865,-2.5974717,1.3368838,6.283339,-2.8535697,12.020309,-41.93207,66.300545,0.5846512,-0.04898405,4.927429,3.925527,-9.054934,22.696745,61.22506,-10.113045,0.1958433,-8.06097
9,-0.04350624233484268,1.7578574419021606,77.92839813232422,-0.2895106745244327,-0.4813378439967507,-86.58879505935859,-0.19126041,6.1051917,-1.4304421,9.857645,-8.659268,-6.1994543,4.414572,-4.912829,-6.808318,7.0521555,-11.991158,6.961816,-2.5912921,1.3371307,6.272544,-2.8571584,12.0185,-41.930218,66.29953,0.60832906,-0.04143929,4.926661,3.9260855,-9.055107,22.699696,61.22875,-10.166357,0.1967121,-8.090951
