Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.33498048782348633,-1.538832426071167,77.81588745117188,-0.7669375569238238,-1.6215996683160885,89.71029035502372,6.760567,8.358947,26.105293,6.8025303,-11.487727,-8.694658,4.857767,-4.153219,-9.219249,7.065004,-12.442032,5.4381046,1.1523374,2.2581325,7.161809,1.3504627,11.731586,-19.873276,63.400177,6.384433,-4.382286,1.4210851,-1.0265878,-11.412205,21.915487,67.73835,-17.232042,-5.3432174,-2.9002428
1,0.3649361729621887,-1.5196731090545654,77.8178482055664,-0.7958811440317612,-1.577057005483831,89.64872365024863,6.744294,8.431726,26.162119,6.802803,-11.497086,-8.742024,4.8041673,-4.075514,-9.154819,7.0659103,-12.440959,5.3593864,1.1224264,2.2769983,7.166573,1.3665527,11.740111,-19.863577,63.342045,6.319517,-4.385062,1.4388633,-1.0393968,-11.412064,21.875502,67.690956,-17.27997,-5.350782,-2.8940356
2,0.3985009491443634,-1.5020722150802612,77.8193359375,-0.8268112567326986,-1.5335749061100208,89.5878788778636,6.7293777,8.50497,26.218166,6.8019238,-11.506449,-8.790585,4.7520823,-3.9967353,-9.090527,7.0659046,-12.439502,5.278959,1.0951487,2.2980998,7.1711826,1.3786397,11.744281,-19.855635,63.286472,6.2479343,-4.386858,1.4581476,-1.0493258,-11.413081,21.83433,67.64087,-17.335018,-5.357726,-2.8855128
3,0.42989885807037354,-1.484755039215088,77.82286071777344,-0.8554420157519476,-1.4885359213575249,89.52515321047521,6.713382,8.577322,26.276363,6.801625,-11.514853,-8.836835,4.6983547,-3.919383,-9.025495,7.0662117,-12.437828,5.2017365,1.081868,2.319431,7.1827188,1.380172,11.751738,-19.853647,63.2333,6.1976433,-4.3888216,1.4727892,-1.053827,-11.417281,21.760366,67.58242,-17.393908,-5.3680987,-2.877155
4,0.46011656522750854,-1.4677507877349854,77.82462310791016,-0.8802926539489494,-1.4390439228377312,89.45737765717757,6.6946135,8.64711,26.340471,6.8011646,-11.520327,-8.877378,4.639761,-3.845419,-8.958186,7.066617,-12.434874,5.1325603,1.0761386,2.3400328,7.18914,1.3807244,11.7633,-19.867554,63.188126,6.182347,-4.3892517,1.4847302,-1.0489258,-11.428289,21.681635,67.52162,-17.422354,-5.380914,-2.8813825
5,0.49323827028274536,-1.445237159729004,77.8260726928711,-0.9012904128740501,-1.3836621808988105,89.38244579588553,6.6722383,8.714078,26.413992,6.8021708,-11.522092,-8.905228,4.5746346,-3.7760234,-8.886728,7.066655,-12.42861,5.0774894,1.0557715,2.3611171,7.1849256,1.3946472,11.771204,-19.868238,63.149967,6.234975,-4.3887844,1.493832,-1.0544095,-11.438907,21.627928,67.48282,-17.39392,-5.3978624,-2.9120257
6,0.5281655788421631,-1.421826720237732,77.82746124267578,-0.9190819344632165,-1.324076686497924,89.30249656300343,6.6480927,8.778818,26.494198,6.8021636,-11.520072,-8.924188,4.504895,-3.7097073,-8.81235,7.066028,-12.419636,5.0324564,1.0313419,2.3821507,7.1745257,1.4131137,11.777919,-19.864567,63.118908,6.3361154,-4.3876686,1.5004699,-1.0631292,-11.449697,21.580692,67.45543,-17.330019,-5.417983,-2.960478
7,0.5651896595954895,-1.402224063873291,77.82801055908203,-0.9359076810650528,-1.2625236676434768,89.22076358337027,6.6227355,8.843824,26.574982,6.801292,-11.517209,-8.947223,4.4332366,-3.6429741,-8.738471,7.0651875,-12.411368,4.987141,0.99990284,2.4027255,7.162917,1.4310682,11.783102,-19.860573,63.096695,6.4436255,-4.385225,1.5069355,-1.0778322,-11.458418,21.542805,67.43603,-17.263311,-5.4356985,-3.0103407
8,0.6024099588394165,-1.3808045387268066,77.83030700683594,-0.9540747167892557,-1.2007666076398984,89.14104892028259,6.5957217,8.910928,26.649897,6.8003116,-11.51576,-8.987145,4.362361,-3.5735424,-8.669311,7.0645165,-12.407181,4.931812,0.970492,2.4245598,7.1634107,1.4406538,11.793503,-19.865122,63.074623,6.517754,-4.3818374,1.509566,-1.088818,-11.475577,21.49001,67.40034,-17.235462,-5.4492593,-3.0366325
9,0.6407639980316162,-1.3589043617248535,77.83192443847656,-0.9742219093592478,-1.138638637350133,89.06417124332198,6.56572,8.981376,26.715166,6.798559,-11.517395,-9.052713,4.29135,-3.4992824,-8.60604,7.0640025,-12.407757,4.8600664,0.9336356,2.4472413,7.1706824,1.4457936,11.807086,-19.878601,63.055325,6.540378,-4.3765235,1.5142577,-1.0990067,-11.49718,21.437458,67.35255,-17.261063,-5.4534025,-3.030469
